turn_index,Lee_Sedol,AlphaGo,countdown,Lee_Sedol_ott,AlphaGo_ott
0,02:00:00,02:00:00,,,
1,01:59:35,01:58:35,,,
2,01:58:29,01:57:27,,,
3,01:58:16,01:56:34,,,
4,01:58:01,01:55:32,,,
5,01:57:59,01:54:19,,,
6,01:57:07,01:53:12,,,
7,01:56:24,01:52:13,,,
8,01:56:21,01:51:09,,,
9,01:52:16,01:50:02,,,
10,01:50:01,01:48:53,,,
11,01:46:29,01:47:54,,,
12,01:44:39,01:46:57,,,
13,01:43:24,01:45:38,,,
14,01:41:48,01:44:30,,,
15,01:39:37,01:42:55,,,
16,01:35:35,01:41:55,,,
17,01:35:32,01:40:57,,,
18,01:34:53,01:40:02,,,
19,01:34:51,01:39:06,,,
20,01:33:10,01:38:26,,,
21,01:31:33,01:36:57,,,
22,01:25:57,01:36:00,,,
23,01:25:55,01:35:02,,,
24,01:25:49,01:34:03,,,
25,01:22:24,01:33:04,,,
26,01:18:30,01:32:05,,,
27,01:18:15,01:30:50,,,
28,01:17:36,01:29:31,,,
29,01:17:02,01:28:23,,,
30,01:14:26,01:27:28,,,
31,01:13:43,01:27:21,,,
32,01:13:06,01:25:48,,,
33,01:13:00,01:24:45,,,
34,01:12:58,01:23:41,,,
35,01:10:01,01:22:09,,,
36,01:06:22,01:20:51,,,
37,01:01:12,01:20:38,,,
38,01:00:36,01:19:34,,,
39,01:00:32,01:18:20,,,
40,00:56:31,01:17:13,,,
41,00:54:06,01:15:42,,,
42,00:53:06,01:14:14,,,
43,00:50:47,01:12:30,,,
44,00:49:00,01:11:19,,,
45,00:48:04,01:09:39,,,
46,00:46:14,01:08:07,,,
47,00:44:17,01:06:58,,,
48,00:42:50,01:05:47,,,
49,00:40:50,01:04:36,,,
50,00:40:45,01:02:42,,,
51,00:36:20,01:00:59,,,
52,00:35:12,00:59:20,,,
53,00:32:57,00:57:08,,,
54,00:23:44,00:55:17,,,
55,00:23:12,00:53:32,,,
56,00:22:30,00:52:12,,,
57,00:21:15,00:49:58,,,
58,00:20:59,00:48:41,,,
59,00:20:39,00:47:22,,,
60,00:20:10,00:45:59,,,
61,00:19:43,00:45:07,,,
62,00:19:21,00:44:49,,,
63,00:17:46,00:43:18,,,
64,00:16:49,00:41:26,,,
65,00:16:30,00:39:49,,,
66,00:16:14,00:38:08,,,
67,00:16:02,00:36:27,,,
68,00:15:52,00:34:49,,,
69,00:10:29,00:32:56,,,
70,00:08:30,00:30:57,,,
71,00:07:18,00:29:02,,,
72,00:04:41,00:27:13,,,
73,00:03:41,00:25:31,,,
74,00:02:44,00:23:50,,,
75,00:02:02,00:22:20,,,
76,00:00:01,00:20:52,lee_sedol countdown,00:03:01,
77,00:00:01,00:19:28,,00:00:59,
78,00:00:02,00:17:41,lee_sedol countdown -1,00:01:58,
79,00:00:57,00:16:07,,00:00:03,
80,00:00:03,00:14:53,,00:00:57,
81,00:00:12,00:13:51,,00:00:48,
82,00:00:02,00:12:52,,00:00:58,
83,00:00:27,00:11:59,,00:00:33,
84,00:00:04,00:10:54,,00:00:56,
85,00:00:02,00:10:08,lee_sedol countdown -1,00:00:58,
86,00:00:01,00:09:26,,00:00:59,
87,00:00:06,00:08:48,,00:00:54,
88,00:00:01,00:08:11,,00:00:59,
89,00:00:02,00:07:34,,00:00:58,
90,00:00:07,00:06:59,,00:00:53,
91,00:00:32,00:06:29,,00:00:28,
92,00:00:46,00:06:00,,00:00:14,
93,00:00:46,00:05:32,,00:00:14,
94,00:00:01,00:05:04,,00:00:59,
95,00:00:02,00:04:34,,00:00:58,
96,00:00:06,00:04:05,,00:00:54,
97,00:00:01,00:03:36,,00:00:59,
98,00:00:28,00:03:07,,00:00:32,
99,00:00:22,00:02:38,,00:00:38,
100,00:00:22,00:02:08,,00:00:38,
101,00:00:54,00:01:40,,00:00:06,
102,00:00:18,00:01:12,,00:00:42,
103,00:00:07,00:00:45,,00:00:53,
104,00:00:51,00:00:17,,00:00:09,
105,00:00:54,00:00:40,alphago countdown,00:00:06,00:00:37
106,00:00:24,00:00:32,,00:00:36,00:00:28
107,00:00:01,00:00:31,,00:00:59,00:00:29
108,00:00:02,00:00:31,,00:00:58,00:00:29
109,00:00:12,00:00:32,,00:00:48,00:00:28
110,00:00:01,00:00:32,,00:00:59,00:00:28
111,00:00:06,00:00:31,,00:00:54,00:00:29
112,00:00:45,00:00:32,,00:00:15,00:00:28
113,00:00:50,00:00:32,,00:00:10,00:00:28
114,00:00:45,00:00:32,,00:00:15,00:00:28
115,00:00:29,00:00:32,,00:00:31,00:00:28
116,00:00:50,00:00:33,,00:00:10,00:00:27
117,00:00:55,00:00:32,,00:00:05,00:00:28
118,00:00:39,00:00:33,,00:00:21,00:00:27
119,00:00:40,00:00:33,,00:00:20,00:00:27
120,00:00:58,00:00:33,,00:00:02,00:00:27
121,00:00:45,00:00:33,,00:00:15,00:00:27
122,00:00:41,00:00:33,,00:00:19,00:00:27
123,00:00:58,00:00:33,,00:00:02,00:00:27
124,00:00:58,00:00:32,,00:00:02,00:00:28
125,00:00:45,00:00:33,,00:00:15,00:00:27
126,00:00:21,00:00:33,,00:00:39,00:00:27
127,00:00:58,00:00:33,,00:00:02,00:00:27
128,00:00:58,00:00:32,,00:00:02,00:00:28
129,00:00:11,00:00:33,,00:00:49,00:00:27
130,00:00:32,00:00:33,,00:00:28,00:00:27
131,00:00:32,00:00:32,,00:00:28,00:00:28
132,00:00:07,00:00:32,,00:00:53,00:00:28
133,00:00:31,00:00:33,,00:00:29,00:00:27
134,00:00:29,00:00:33,,00:00:31,00:00:27
135,00:00:49,00:00:32,,00:00:11,00:00:28
136,00:00:58,00:00:30,,00:00:02,00:00:30
137,00:00:52,00:00:33,,00:00:08,00:00:27
138,00:00:59,00:00:33,,00:00:01,00:00:27
139,00:00:56,00:00:33,,00:00:04,00:00:27
140,00:00:01,00:00:32,,00:00:59,00:00:28
141,resigned,,,,
