turn_index,Lee_Sedol,AlphaGo,countdown,Lee_Sedol_ott,AlphaGo_ott
0,02:00:00,02:00:00,,,
1,01:59:41,01:58:30,,,
2,01:58:15,01:57:24,,,
3,01:57:00,01:56:05,,,
4,01:55:41,01:55:08,,,
5,01:54:30,01:54:08,,,
6,01:54:19,01:53:16,,,
7,01:54:15,01:52:19,,,
8,01:53:39,01:51:12,,,
9,01:53:06,01:49:47,,,
10,01:50:43,01:48:51,,,
11,01:50:25,01:47:51,,,
12,01:50:17,01:46:53,,,
13,01:47:17,01:45:57,,,
14,01:43:11,01:45:03,,,
15,01:43:08,01:44:08,,,
16,01:43:02,01:43:11,,,
17,01:40:30,01:42:16,,,
18,01:37:29,01:41:20,,,
19,01:37:25,01:40:23,,,
20,01:34:18,01:39:26,,,
21,01:34:15,01:38:19,,,
22,01:33:20,01:37:20,,,
23,01:32:23,01:36:22,,,
24,01:31:33,01:35:22,,,
25,01:31:25,01:34:15,,,
26,01:30:54,01:33:03,,,
27,01:30:31,01:32:02,,,
28,01:30:07,01:30:39,,,
29,01:30:05,01:29:02,,,
30,01:27:37,01:28:02,,,
31,01:27:31,01:26:11,,,
32,01:26:18,01:24:49,,,
33,01:25:13,01:23:43,,,
34,01:24:22,01:22:38,,,
35,01:24:20,01:21:21,,,
36,01:23:35,01:19:46,,,
37,01:23:28,01:18:40,,,
38,01:21:54,01:17:32,,,
39,01:21:40,01:15:50,,,
40,01:15:27,01:14:11,,,
41,01:14:23,01:12:45,,,
42,01:14:21,01:11:00,,,
43,01:12:58,01:08:57,,,
44,01:06:56,01:07:05,,,
45,01:06:35,01:05:28,,,
46,01:05:43,01:04:15,,,
47,01:05:39,01:02:19,,,
48,01:05:31,01:00:43,,,
49,01:05:14,00:59:36,,,
50,01:04:12,00:58:22,,,
51,01:03:43,00:56:41,,,
52,00:53:15,00:56:28,,,
53,00:52:07,00:55:03,,,
54,00:51:57,00:53:47,,,
55,00:45:15,00:52:33,,,
56,00:44:23,00:51:13,,,
57,00:44:06,00:49:55,,,
58,00:43:43,00:48:20,,,
59,00:43:38,00:47:01,,,
60,00:43:30,00:45:33,,,
61,00:43:04,00:43:45,,,
62,00:41:30,00:41:47,,,
63,00:40:50,00:40:08,,,
64,00:40:38,00:38:38,,,
65,00:40:03,00:37:05,,,
66,00:40:02, 00:35:33,,,
67,00:38:23,00:33:57,,,
68,00:38:10,00:32:14,,,
69,00:37:49,00:30:31,,,
70,00:37:47,00:28:43,,,
71,00:37:41,00:26:55,,,
72,00:37:39,00:25:33,,,
73,00:37:29,00:23:57,,,
74,00:37:17,00:22:19,,,
75,00:37:07,00:20:49,,,
76,00:36:05,00:19:28,,,
77,00:35:56,00:18:05,,,
78,00:35:06,00:16:53,,,
79,00:34:59,00:15:47,,,
80,00:34:53,00:14:43,,,
81,00:34:51,00:13:43,,,
82,00:34:34,00:12:47,,,
83,00:34:31,00:11:56,,,
84,00:34:25,00:11:07,,,
85,00:34:17,00:10:21,,,
86,00:34:11,00:09:38,,,
87,00:34:04,00:08:58,,,
88,00:33:59,00:08:19,,,
89,00:33:57,00:07:41,,,
90,00:33:36,00:07:05,,,
91,00:33:34,00:06:32,,,
92,00:33:25,00:05:59,,,
93,00:33:12,00:05:30,,,
