turn_index,AlphaGo,Lee_Sedol,countdown,AlphaGo_ott,Lee_Sedol_ott
0,02:00:00,02:00:00,,,
1,01:59:54,01:59:01,,,
2,01:58:19,01:58:18,,,
3,01:57:06,01:58:03,,,
4,01:56:06,01:58:01,,,
5,01:54:40,01:57:53,,,
6,01:53:34,01:55:33,,,
7,01:52:40,01:50:08,,,
8,01:51:13,01:44:57,,,
9,01:49:50,01:42:16,,,
10,01:48:33,01:40:43,,,
11,01:47:00,01:39:21,,,
12,01:45:49,01:35:13,,,
13,01:44:52,01:29:02,,,
14,01:43:54,01:28:26,,,
15,01:42:38,01:23:28,,,
16,01:41:29,01:23:07,,,
17,01:40:24,01:20:58,,,
18,01:39:09,01:20:55,,,
19,01:38:14,01:20:39,,,
20,01:36:46,01:16:01,,,
21,01:35:43,01:14:21,,,
22,01:34:47,01:09:36,,,
23,01:33:42,01:00:22,,,
24,01:32:13,00:55:07,,,
25,01:31:40,00:54:35,,,
26,01:30:08,00:52:05,,,
27,01:29:09,00:51:59,,,
28,01:27:57,00:48:19,,,
29,01:27:00,00:48:17,,,
30,01:25:53,00:44:30,,,
31,01:24:51,00:42:58,,,
32,01:23:51,00:42:36,,,
33,01:22:19,00:42:16,,,
34,01:20:36,00:40:14,,,
35,01:19:25,00:30:05,,,
36,01:17:50,00:14:16,,,
37,01:16:46,00:12:45,,,
38,01:15:45,00:12:42,,,
39,01:14:41,00:06:16,,,
40,01:13:33,00:03:57,,,
41,01:12:29,00:03:23,,,
42,01:11:09,00:02:18,,,
43,01:09:59,00:00:53,,,
44,01:08:15,00:00:38,,,
45,01:07:04,00:00:02,lee countdown,,00:01:36
46,01:05:02,00:00:01,lee countdown -1,,00:01:59
47,01:03:46,00:00:01,,,00:00:59
48,01:02:32,00:00:01,,,00:00:59
49,01:01:00,00:00:01,,,00:00:59
50,00:59:04,00:00:01,,,00:00:59
51,00:57:50,00:00:04,,,00:00:56
52,00:56:29,00:00:01,,,00:00:59
53,00:54:36,00:00:01,,,00:00:59
54,00:53:26,00:00:07,lee countdown -1,,00:01:53
55,00:52:14,00:00:03,,,00:00:57
56,00:51:01,00:00:06,,,00:00:54
57,00:50:51,00:00:01,,,00:00:59
58,00:49:12,00:00:01,,,00:00:59
59,00:47:40,00:00:08,,,00:00:52
60,00:45:54,00:00:04,,,00:00:56
61,00:44:11,00:00:08,,,00:00:52
62,00:44:06,00:00:01,,,00:00:59
63,00:42:36,00:00:02,,,00:00:58
64,00:41:00,00:00:03,,,00:00:57
65,00:39:29,00:00:25,,,00:00:35
66,00:37:06,00:00:01,,,00:00:59
67,00:35:25,00:00:01,,,00:00:59
68,00:33:05,00:00:02,,,00:00:58
69,00:30:26,00:00:01,,,00:00:59
70,00:28:05,00:00:54,,,00:00:06
71,00:25:52,00:00:01,,,00:00:59
72,00:22:48,00:00:02,,,00:00:58
73,00:20:37,00:00:26,,,00:00:34
74,00:19:02,00:00:46,,,00:00:14
75,00:17:00,00:00:01,,,00:00:59
76,00:15:53,00:00:03,,,00:00:57
77,00:14:50,00:00:02,,,00:00:58
78,00:13:22,00:00:02,,,00:00:58
79,00:12:05,00:00:01,,,00:00:59
80,00:10:48,00:00:01,,,00:00:59
81,00:09:32,00:00:03,,,00:00:57
82,00:08:21,00:00:01,,,00:00:59
83,00:07:21,00:00:07,,,00:00:53
84,00:06:26,00:00:08,,,00:00:52
85,00:05:34,00:00:33,,,00:00:27
86,00:04:52,00:00:15,,,00:00:45
87,00:04:07,00:00:45,,,00:00:15
88,00:03:17,00:00:53,,,00:00:07
89,00:02:35,00:00:59,,,00:00:01
90,00:01:44,00:00:06,,,00:00:54
91,resigned,,,,
