turn_index,Lee_Sedol,AlphaGo,countdown,Lee_Sedol_ott,AlphaGo_ott
0,02:00:00,02:00:00,,,
1,01:59:30,01:58:22,,,
2,01:59:09,01:57:17,,,
3,01:59:01,01:56:17,,,
4,01:58:34,01:55:16,,,
5,01:55:53,01:54:04,,,
6,01:53:58,01:53:09,,,
7,01:53:16,01:51:59,,,
8,01:52:13,01:51:03,,,
9,01:48:36,01:50:09,,,
10,01:45:38,01:49:15,,,
11,01:41:15,01:48:20,,,
12,01:40:51,01:47:21,,,
13,01:39:25,01:46:18,,,
14,01:33:29,01:45:19,,,
15,01:33:14,01:44:05,,,
16,01:30:16,01:42:47,,,
17,01:23:17,01:41:48,,,
18,01:17:52,01:40:49,,,
19,01:14:38,01:39:47,,,
20,01:12:28,01:38:50,,,
21,01:12:09,01:37:47,,,
22,01:11:58,01:36:47,,,
23,01:11:53,01:35:44,,,
24,01:08:24,01:34:03,,,
25,00:59:39,01:32:39,,,
26,00:59:29,01:31:36,,,
27,00:52:11,01:30:35,,,
28,00:49:27,01:29:36,,,
29,00:47:39,01:28:18,,,
30,00:46:36,01:27:15,,,
31,00:43:05,01:26:02,,,
32,00:42:55,01:24:49,,,
33,00:41:03,01:23:34,,,
34,00:40:20,01:22:31,,,
35,00:39:57,01:20:44,,,
36,00:36:36,01:19:38,,,
37,00:35:47,01:18:26,,,
38,00:35:40,01:17:22,,,
39,00:34:39,01:15:26,,,
40,00:34:08,01:14:04,,,
41,00:34:06,01:12:48,,,
42,00:33:22,01:11:37,,,
43,00:33:15,01:10:26,,,
44,00:32:52,01:08:57,,,
45,00:30:24,01:07:37,,,
46,00:28:28,01:06:28,,,
47,00:28:24,01:05:17,,,
48,00:27:36,01:03:30,,,
49,00:25:33,01:02:21,,,
50,00:24:26,01:00:54,,,
51,00:20:59,00:59:35,,,
52,00:20:57,00:57:45,,,
53,00:18:50,00:56:30,,,
54,00:15:41,00:54:34,,,
55,00:15:28,00:53:19,,,
56,00:15:10,00:51:12,,,
57,00:11:55,00:49:55,,,
58,00:10:11,00:48:26,,,
59,00:06:56,00:47:07,,,
60,00:05:52,00:45:47,,,
61,00:05:44,00:42:32,,,
62,00:01:43,00:40:55,,,
63,00:00:49,00:39:02,lee countdown,00:01:54,
64,00:00:06,00:37:31,,00:00:54,
65,00:00:04,00:35:22,lee countdown -2,00:02:54,
66,00:00:05,00:33:47,,00:00:55,
67,00:00:01,00:32:08,,00:00:59,
68,00:00:01,00:30:19,,00:00:59,
69,00:00:02,00:28:31,,00:00:58,
70,00:00:02,00:26:45,,00:00:58,
71,00:00:01,00:26:31,,00:00:59,
72,00:00:01,00:24:45,,00:00:59,
73,00:00:47,00:22:46,,00:00:13,
74,00:00:01,00:21:18,,00:00:59,
75,00:00:03,00:19:39,,00:00:57,
76,00:00:01,00:18:23,,00:00:59,
77,00:00:07,00:17:11,,00:00:53,
78,00:00:34,00:16:03,,00:00:26,
79,00:00:55,00:14:59,,00:00:05,
80,00:00:27,00:13:59,,00:00:33,
81,00:00:59,00:13:03,,00:00:01,
82,00:00:53,00:12:11,,00:00:07,
83,00:00:59,00:11:22,,00:00:01,
84,00:00:58,00:10:36,,00:00:02,
85,00:00:01,00:09:52,,00:00:59,
86,00:00:53,00:09:11,,00:00:07,
87,00:00:58,00:08:32,,00:00:02,
